 external_ref |                    operation                     | status  | calls | avg_ms | max_ms 
 AED_SORENTO  | GET /itembatchbalqtybypage?page=64&pageSize=1000 | success |     1 |    219 |    219
 AED_SORENTO  | GET /itembatchbalqtybypage?page=65&pageSize=1000 | success |     1 |    214 |    214
 AED_SORENTO  | GET /itembatchbalqtybypage?page=66&pageSize=1000 | success |     1 |    217 |    217
 AED_SORENTO  | GET /itembatchbalqtybypage?page=67&pageSize=1000 | success |     1 |    222 |    222
 AED_SORENTO  | GET /itembatchbalqtybypage?page=68&pageSize=1000 | success |     1 |    220 |    220
 AED_SORENTO  | GET /itembatchbalqtybypage?page=69&pageSize=1000 | success |     1 |    204 |    204
 AED_SORENTO  | GET /itembatchbalqtybypage?page=7&pageSize=1000  | success |     1 |    178 |    178
 AED_SORENTO  | GET /itembatchbalqtybypage?page=8&pageSize=1000  | success |     1 |    138 |    138
 AED_SORENTO  | GET /itembatchbalqtybypage?page=9&pageSize=1000  | success |     1 |    135 |    135
 AED_SORENTO  | GET /itembypage?page=1&pageSize=1000             | success |     3 |  16223 |  16881
 AED_SORENTO  | GET /itembypage?page=1&pageSize=500              | success |     3 |  11186 |  12438
 AED_SORENTO  | GET /itembypage?page=10&pageSize=500             | success |     3 |   9794 |  10798
 AED_SORENTO  | GET /itembypage?page=11&pageSize=500             | success |     3 |    339 |    349
 AED_SORENTO  | GET /itembypage?page=12&pageSize=500             | success |     3 |   1327 |   1369
 AED_SORENTO  | GET /itembypage?page=13&pageSize=500             | success |     3 |   7514 |   7560
 AED_SORENTO  | GET /itembypage?page=14&pageSize=500             | success |     3 |  12340 |  12416
 AED_SORENTO  | GET /itembypage?page=15&pageSize=500             | success |     3 |  20127 |  20213
 AED_SORENTO  | GET /itembypage?page=16&pageSize=500             | success |     3 |  18702 |  21191
 AED_SORENTO  | GET /itembypage?page=17&pageSize=500             | success |     3 |  25565 |  29542
 AED_SORENTO  | GET /itembypage?page=18&pageSize=500             | success |     3 |  19229 |  21864
 AED_SORENTO  | GET /itembypage?page=19&pageSize=500             | success |     3 |  13790 |  13911
 AED_SORENTO  | GET /itembypage?page=2&pageSize=1000             | success |     3 |  24343 |  27923
 AED_SORENTO  | GET /itembypage?page=2&pageSize=500              | success |     3 |  11229 |  12686
 AED_SORENTO  | GET /itembypage?page=20&pageSize=500             | success |     3 |  20380 |  27025
 AED_SORENTO  | GET /itembypage?page=21&pageSize=500             | success |     3 |  20534 |  25982
 AED_SORENTO  | GET /itembypage?page=22&pageSize=500             | success |     3 |   9156 |  10251
 AED_SORENTO  | GET /itembypage?page=23&pageSize=500             | success |     3 |  12878 |  13214
 AED_SORENTO  | GET /itembypage?page=24&pageSize=500             | success |     3 |   2435 |   2452
 AED_SORENTO  | GET /itembypage?page=3&pageSize=1000             | success |     3 |  22298 |  29081
 AED_SORENTO  | GET /itembypage?page=3&pageSize=500              | success |     3 |   9878 |  13054
 AED_SORENTO  | GET /itembypage?page=4&pageSize=1000             | success |     3 |  26519 |  26946
 AED_SORENTO  | GET /itembypage?page=4&pageSize=500              | success |     3 |  12718 |  15544
 AED_SORENTO  | GET /itembypage?page=5&pageSize=1000             | success |     3 |  16391 |  18208
 AED_SORENTO  | GET /itembypage?page=5&pageSize=500              | success |     3 |   7924 |   9587
 AED_SORENTO  | GET /itembypage?page=6&pageSize=1000             | success |     3 |   1360 |   1438
 AED_SORENTO  | GET /itembypage?page=6&pageSize=500              | success |     3 |  15351 |  19632
 AED_SORENTO  | GET /itembypage?page=7&pageSize=1000             | success |     3 |  15654 |  19958
 AED_SORENTO  | GET /itembypage?page=7&pageSize=500              | success |     3 |   9987 |  12486
 AED_SORENTO  | GET /itembypage?page=8&pageSize=1000             | success |     2 |  26506 |  26562
 AED_SORENTO  | GET /itembypage?page=8&pageSize=1000             | error   |     3 |  30018 |  30051
 AED_SORENTO  | GET /itembypage?page=8&pageSize=500              | success |     3 |  11478 |  14359
 AED_SORENTO  | GET /itembypage?page=9&pageSize=1000             | error   |     4 |  30026 |  30054
 AED_SORENTO  | GET /itembypage?page=9&pageSize=500              | success |     3 |   4026 |   5630
 AED_SORENTO  | GET /itemuombypage?page=1&pageSize=1000          | success |     5 |    162 |    254
 AED_SORENTO  | GET /itemuombypage?page=10&pageSize=1000         | success |     5 |    136 |    147
 AED_SORENTO  | GET /itemuombypage?page=11&pageSize=1000         | success |     5 |    138 |    145
 AED_SORENTO  | GET /itemuombypage?page=12&pageSize=1000         | success |     5 |    130 |    139
 AED_SORENTO  | GET /itemuombypage?page=2&pageSize=1000          | success |     5 |    158 |    264
 AED_SORENTO  | GET /itemuombypage?page=3&pageSize=1000          | success |     5 |    132 |    154
 AED_SORENTO  | GET /itemuombypage?page=4&pageSize=1000          | success |     5 |    132 |    145
 AED_SORENTO  | GET /itemuombypage?page=5&pageSize=1000          | success |     5 |    127 |    132
 AED_SORENTO  | GET /itemuombypage?page=6&pageSize=1000          | success |     5 |    130 |    140
 AED_SORENTO  | GET /itemuombypage?page=7&pageSize=1000          | success |     5 |    134 |    144
 AED_SORENTO  | GET /itemuombypage?page=8&pageSize=1000          | success |     5 |    133 |    143
 AED_SORENTO  | GET /itemuombypage?page=9&pageSize=1000          | success |     5 |    134 |    154
 AED_SORENTO  | NOTE https://hapi.sorento.cc.cd/api/db1          | error   |     3 |      0 |      0
 MOCHA        | discover company                                 | success |     1 |        |       
 MOCHA        | GET /itembatchbalqtybypage?page=1&pageSize=1000  | success |     1 |    234 |    234
 MOCHA        | GET /itembatchbalqtybypage?page=10&pageSize=1000 | success |     1 |    142 |    142
 MOCHA        | GET /itembatchbalqtybypage?page=11&pageSize=1000 | success |     1 |    131 |    131
 MOCHA        | GET /itembatchbalqtybypage?page=2&pageSize=1000  | success |     1 |    176 |    176
 MOCHA        | GET /itembatchbalqtybypage?page=3&pageSize=1000  | success |     1 |    134 |    134
 MOCHA        | GET /itembatchbalqtybypage?page=4&pageSize=1000  | success |     1 |    136 |    136
 MOCHA        | GET /itembatchbalqtybypage?page=5&pageSize=1000  | success |     1 |    158 |    158
 MOCHA        | GET /itembatchbalqtybypage?page=6&pageSize=1000  | success |     1 |    160 |    160
 MOCHA        | GET /itembatchbalqtybypage?page=7&pageSize=1000  | success |     1 |    154 |    154
 MOCHA        | GET /itembatchbalqtybypage?page=8&pageSize=1000  | success |     1 |    190 |    190
 MOCHA        | GET /itembatchbalqtybypage?page=9&pageSize=1000  | success |     1 |    144 |    144
 MOCHA        | GET /itembypage?page=1&pageSize=1000             | error   |     4 |  30420 |  31528
 MOCHA        | GET /itembypage?page=1&pageSize=250              | error   |     4 |  30069 |  30123
 MOCHA        | GET /itembypage?page=1&pageSize=500              | error   |     4 |  30104 |  30121
 MOCHA        | NOTE https://hapi.sorento.cc.cd/api/db2          | error   |     4 |      0 |      0
(132 rows)

