 external_ref |                    operation                    | status  | calls | avg_ms | max_ms 
 MOCHA        | GET /itembypage?page=9&pageSize=300             | success |     3 |  59894 |  60208
 MOCHA        | GET /itemuombypage?page=1&pageSize=300          | success |     3 |    186 |    373
 MOCHA        | GET /itemuombypage?page=10&pageSize=300         | success |     3 |    192 |    372
 MOCHA        | GET /itemuombypage?page=11&pageSize=300         | success |     3 |    198 |    372
 MOCHA        | GET /itemuombypage?page=12&pageSize=300         | success |     3 |    183 |    353
 MOCHA        | GET /itemuombypage?page=2&pageSize=300          | success |     3 |    193 |    366
 MOCHA        | GET /itemuombypage?page=3&pageSize=300          | success |     3 |    184 |    370
 MOCHA        | GET /itemuombypage?page=4&pageSize=300          | success |     3 |    189 |    384
 MOCHA        | GET /itemuombypage?page=5&pageSize=300          | success |     3 |    194 |    364
 MOCHA        | GET /itemuombypage?page=6&pageSize=300          | success |     3 |    189 |    365
 MOCHA        | GET /itemuombypage?page=7&pageSize=300          | success |     3 |    183 |    368
 MOCHA        | GET /itemuombypage?page=8&pageSize=300          | success |     3 |    188 |    368
 MOCHA        | GET /itemuombypage?page=9&pageSize=300          | success |     3 |    188 |    368
 MOCHA        | NOTE https://hapi.sorento.cc.cd/api/db2         | error   |     3 |      0 |      0
(82 rows)

